Time,Channel B
(ms),(V)

3.17723760,0.04272591
3.17979760,-0.00137333
3.18235760,-0.00137333
3.18491760,-0.00137333
3.18747760,-0.00137333
3.19003760,-0.00137333
3.19259760,-0.00137333
3.19515760,0.04272591
3.19771760,-0.00137333
3.20027760,-0.00137333
3.20283760,-0.00137333
3.20539760,-0.00137333
3.20795760,-0.00137333
3.21051760,-0.00137333
3.21307760,-0.00137333
3.21563760,-0.00137333
3.21819760,-0.00137333
3.22075760,-0.00137333
3.22331760,-0.00137333
3.22587760,-0.00137333
3.22843760,-0.00137333
3.23099760,-0.00137333
3.23355760,-0.00137333
3.23611760,-0.00137333
3.23867760,-0.00137333
3.24123760,-0.00137333
3.24379760,-0.00137333
3.24635760,-0.00137333
3.24891760,-0.00137333
