t (s)	U1(V)
"0,087300"	"0,481057"
"0,087400"	"0,481057"
"0,087500"	"0,481057"
"0,087600"	"0,481057"
"0,087700"	"0,481057"
"0,087800"	"0,481057"
"0,087900"	"0,481057"
"0,088000"	"0,475828"
"0,088100"	"0,481057"
"0,088200"	"0,481057"
"0,088300"	"0,481057"
"0,088400"	"0,475828"
"0,088500"	"0,475828"
"0,088600"	"0,475828"
"0,088700"	"0,475828"
"0,088800"	"0,475828"
"0,088900"	"0,475828"
"0,089000"	"0,475828"
"0,089100"	"0,475828"
"0,089200"	"0,475828"
"0,089300"	"0,481057"
"0,089400"	"0,470599"
"0,089500"	"0,470599"
"0,089600"	"0,470599"
"0,089700"	"0,470599"
"0,089800"	"0,470599"
"0,089900"	"0,470599"
"0,090000"	"0,470599"
"0,090100"	"0,475828"
"0,090200"	"0,470599"
"0,090300"	"0,470599"
"0,090400"	"0,465370"
"0,090500"	"0,465370"
"0,090600"	"0,470599"
"0,090700"	"0,470599"
"0,090800"	"0,470599"
"0,090900"	"0,470599"
"0,091000"	"0,470599"
"0,091100"	"0,465370"
"0,091200"	"0,465370"
"0,091300"	"0,465370"
"0,091400"	"0,465370"
"0,091500"	"0,465370"
"0,091600"	"0,465370"
"0,091700"	"0,465370"
"0,091800"	"0,465370"
"0,091900"	"0,465370"
"0,092000"	"0,460142"
"0,092100"	"0,460142"
"0,092200"	"0,465370"
"0,092300"	"0,460142"
"0,092400"	"0,460142"
"0,092500"	"0,460142"
"0,092600"	"0,460142"
"0,092700"	"0,460142"
"0,092800"	"0,460142"
"0,092900"	"0,454913"
"0,093000"	"0,454913"
"0,093100"	"0,454913"
"0,093200"	"0,460142"
"0,093300"	"0,454913"
"0,093400"	"0,460142"
"0,093500"	"0,460142"
"0,093600"	"0,454913"
"0,093700"	"0,460142"
"0,093800"	"0,454913"
"0,093900"	"0,449684"
"0,094000"	"0,454913"
"0,094100"	"0,454913"
"0,094200"	"0,454913"
"0,094300"	"0,454913"
"0,094400"	"0,454913"
"0,094500"	"0,454913"
"0,094600"	"0,449684"
"0,094700"	"0,449684"
"0,094800"	"0,449684"
"0,094900"	"0,449684"
"0,095000"	"0,449684"
"0,095100"	"0,449684"
"0,095200"	"0,449684"
"0,095300"	"0,449684"
"0,095400"	"0,449684"
"0,095500"	"0,444455"
"0,095600"	"0,444455"
"0,095700"	"0,444455"
"0,095800"	"0,444455"
"0,095900"	"0,444455"
"0,096000"	"0,444455"
"0,096100"	"0,449684"
"0,096200"	"0,444455"
"0,096300"	"0,449684"
"0,096400"	"0,439226"
"0,096500"	"0,444455"
"0,096600"	"0,444455"
"0,096700"	"0,444455"
"0,096800"	"0,444455"
"0,096900"	"0,444455"
"0,097000"	"0,444455"
"0,097100"	"0,444455"
"0,097200"	"0,439226"
"0,097300"	"0,439226"
"0,097400"	"0,439226"
"0,097500"	"0,439226"
"0,097600"	"0,439226"
"0,097700"	"0,439226"
"0,097800"	"0,439226"
"0,097900"	"0,439226"
"0,098000"	"0,439226"
"0,098100"	"0,439226"
"0,098200"	"0,433997"
"0,098300"	"0,433997"
"0,098400"	"0,433997"
"0,098500"	"0,433997"
"0,098600"	"0,433997"
"0,098700"	"0,433997"
"0,098800"	"0,433997"
"0,098900"	"0,433997"
"0,099000"	"0,433997"
"0,099100"	"0,433997"
"0,099200"	"0,428768"
"0,099300"	"0,433997"
"0,099400"	"0,433997"
